bibcode,year,title,subject,predicate,object,claim_type,evidence_text
1990AIPC..202..227S,1990,Probing the halo dark matter γ ray line from a lunar base,χ,candidate_for,dark matter,candidate,detecting halo cold dark matter through the annihilation process χχ-->γγ
1990AIPC..202..227S,1990,Probing the halo dark matter γ ray line from a lunar base,dark matter,is,particle dark matter,identity,may be a clear signature of particle dark matter
1990AN....311..197M,1990,Laboratory tests for the constituents of dark matter,dark matter,composed_of,"light hypothetical elementary particles predicted by united gauge theories, supersymmetry and supergravity",composition,"it consists of light hypothetical elementary particles which are predicted in the frame of united gauge theories, supersymmetry and supergravity."
1990ApJ...365..432S,1990,Constraints on Universe Models with Cosmological Constant from Cosmic Microwave Background Anisotropy,dark matter,is,cold dark matter,identity,cold dark matter-dominated universe
1990NASCP3058..185S,1990,Annihilation Physics of Exotic Galactic Dark Matter Particles,exotic heavy neutral weakly interacting fermions,candidate_for,dark matter,candidate,"Various theoretical arguments make exotic heavy neutral weakly interacting fermions, particularly those predicted by supersymmetry theory, attractive candidates for making up the large amount of unseen gravitating mass in galactic halos."
1990NASCP3058..185S,1990,Annihilation Physics of Exotic Galactic Dark Matter Particles,particles predicted by supersymmetry theory,candidate_for,dark matter,candidate,"Various theoretical arguments make exotic heavy neutral weakly interacting fermions, particularly those predicted by supersymmetry theory, attractive candidates for making up the large amount of unseen gravitating mass in galactic halos."
1990NASCP3098..645H,1990,Dragging force on galaxies due to streaming dark matter.,dark matter,is,dust-like cold dark matter,identity,dust-like cold dark matter
1990Natur.346...39L,1990,Detectability of γ-rays from clumps of dark matter,dark matter,composed_of,weakly interacting massive particles (wimps),composition,the dark matter in our Galaxy is made up of weakly interacting massive particles (WIMPs)
1990Natur.346...39L,1990,Detectability of γ-rays from clumps of dark matter,photinos,candidate_for,dark matter,candidate,"(for example, photinos or Higgsinos)"
1990Natur.346...39L,1990,Detectability of γ-rays from clumps of dark matter,higgsino,candidate_for,dark matter,candidate,"(for example, photinos or Higgsinos)"
1990Natur.346...39L,1990,Detectability of γ-rays from clumps of dark matter,geminga,candidate_for,dark matter,candidate,"Even Geminga, the second strongest source of γ-rays at energies greater than 50 MeV, could be annihilating dark matter."
1990NuPhS..13..377C,1990,Cosmology of the singlet Majoron model,ν_μ,candidate_for,dark matter,candidate,allows Ω = 1 in νμ or ντ with masses in the range of 1 keV to 35 MeV.
1990NuPhS..13..377C,1990,Cosmology of the singlet Majoron model,ν_τ,candidate_for,dark matter,candidate,allows Ω = 1 in νμ or ντ with masses in the range of 1 keV to 35 MeV.
1990NuPhS..14..167.,1990,Neutrino physics with the Fréjus underground detector.,possible cold dark matter candidates,candidate_for,dark matter,candidate,annihilation neutrinos from possible cold dark matter candidates trapped in the sun or in the earth.
1990NuPhS..14..251G,1990,Cornering the supersymmetry preferred dark matter candidate: The neutralino,lightest supersymmetric particle (lsp),candidate_for,dark matter,candidate,the lightest supersymmetric particle (LSP) is stable and hence is a good dark matter candidate.
1990NuPhS..14..251G,1990,Cornering the supersymmetry preferred dark matter candidate: The neutralino,lightest neutralino,candidate_for,dark matter,candidate,"In the minimal supersymmetric extension of the standard model (the Minimal Supersymmetric Standard Model, MSSM), the lightest supersymmetric particle (LSP) is stable and hence is a good dark matter candidate. The preferred LSP in this model is the lightest neutralino, which is a combination of photino, zino and higgsinos."
1990PhDT.........7B,1990,"Development of an Extremely Sensitive Infrared Photometer for the Investigation of ""dark Matter"" in Galactic Halos",substellar objects,candidate_for,dark matter,candidate,"no evidence of a massive halo consisting of ""substellar objects""."
1990PhLB..245..251E,1990,Dark matter in the light of LEP,majorana fermion,candidate_for,dark matter,candidate,any Majorana fermions annihilating via the Z^0 to give the critical closure density must weigh more than about 14 GeV
1990PhLB..245..251E,1990,Dark matter in the light of LEP,dirac fermion,candidate_for,dark matter,candidate,a limit which can rise to about 19 GeV for Dirac fermions when underground 76Ge experiments are taken into account
1990PhLB..245..251E,1990,Dark matter in the light of LEP,lightest supersymmetric particle (lsp),candidate_for,dark matter,candidate,the lightest supersymmetric particle (LSP) can have the critical density.
1990PhR...187..203S,1990,Dark matter detection,new types of elementary particle,candidate_for,dark matter,candidate,on the hypothesis that this may consist of new types of elementary particle.
1990PhR...187..203S,1990,Dark matter detection,light axions,candidate_for,dark matter,candidate,electromagnetic detectors for light axions
1990PhR...187..203S,1990,Dark matter detection,heavy neutral particles,candidate_for,dark matter,candidate,nuclear recoil detectors for heavy neutral particles
1990PhRvD..41.3565G,1990,Supersymmetric dark matter above the W mass,neutralino,candidate_for,dark matter,candidate,"We find that a ``heavy'' neutralino (m<SUB>χ</SUB>~>m<SUB>W</SUB>) that contributes Ω<SUB>χ</SUB>~~1 arises for a very wide range of model parameters and makes, therefore, a very natural and attractive dark-matter candidate."
1990PhRvD..42.3834G,1990,Phenomenology and cosmology of second- and third-family Higgs bosons,lightest scalar,candidate_for,dark matter,candidate,"The natural stability of the lightest scalar makes it an excellent dark-matter candidate,"
1990PhRvL..64..135G,1990,Phenomenology and cosmology of extra generations of Higgs bosons,lightest extra higgs boson,candidate_for,dark matter,candidate,The lightest is a superb dark-matter candidate
1990Sci...250.1529D,1990,Astrophysics and Cosmology Closing in on Neutrino Masses,neutrinos,candidate_for,dark matter,candidate,cannot even exclude the possibility that the dark matter in the universe consists of neutrinos.
1990ltdn.conf...27S,1990,Dark matters,baryons,constitutes,dark matter,constitution,"Baryons can account for the observed luminous mass as well as some, perhaps most, of the 'observed' dark mass."
1990ltdn.conf...27S,1990,Dark matters,dark matter,is,non-baryonic,identity,"However if, as inflation/naturalness suggest, the total density of the universe is equal to the critical density, then nonbaryonic dark matter is required."
1990paeu.conf..315S,1990,Cosmology and experimental particle physics.,non-baryonic matter,candidate_for,dark matter,candidate,LEP is now constraining possible non-baryonic dark matter candidates
1990paeu.conf..341K,1990,The implications of Z width measurements for the search for dark matter or there is no substitute for experimental data.,dirac neutrinos,candidate_for,dark matter,candidate,"rule out Dirac neutrinos, Majorana neutrinos, and sneutrinos as WIMP dark matter"
1990paeu.conf..341K,1990,The implications of Z width measurements for the search for dark matter or there is no substitute for experimental data.,majorana neutrinos,candidate_for,dark matter,candidate,"rule out Dirac neutrinos, Majorana neutrinos, and sneutrinos as WIMP dark matter"
1990paeu.conf..341K,1990,The implications of Z width measurements for the search for dark matter or there is no substitute for experimental data.,sneutrino,candidate_for,dark matter,candidate,"rule out Dirac neutrinos, Majorana neutrinos, and sneutrinos as WIMP dark matter"
1990paeu.conf..341K,1990,The implications of Z width measurements for the search for dark matter or there is no substitute for experimental data.,neutralino,candidate_for,dark matter,candidate,strongly constrain neutralinos
1990paeu.conf..341K,1990,The implications of Z width measurements for the search for dark matter or there is no substitute for experimental data.,cosmions,candidate_for,dark matter,candidate,"rule out most explicit ""cosmions"""
1991A&A...249....1G,1991,The lightest supersymmetric particle and the extragalactic gamma-ray background,lightest supersymmetric particle (lsp),candidate_for,dark matter,candidate,The LSP is considered a general type of the best-motivated candidates for cosmic dark matter (CDM).
1991AIPC..222..451N,1991,Present and future limits on compact dark matter from gravitational lensing,dark matter,composed_of,black holes,composition,"If the dark matter is composed of black holes, stars, of any compact object (COs) then certain gravitational lens effects are to be expected"
1991AIPC..222..451N,1991,Present and future limits on compact dark matter from gravitational lensing,dark matter,composed_of,stars,composition,"If the dark matter is composed of black holes, stars, of any compact object (COs) then certain gravitational lens effects are to be expected"
1991AIPC..222..451N,1991,Present and future limits on compact dark matter from gravitational lensing,dark matter,composed_of,compact objects,composition,"If the dark matter is composed of black holes, stars, of any compact object (COs) then certain gravitational lens effects are to be expected"
1991AIPC..222..471W,1991,Detecting halo weakly interacting massive particles with a cryogenic phonon detector,wimp,candidate_for,dark matter,candidate,"If dark matter in the halo is made of weakly interacting massive particles (WIMPs), it may be detected with a cryogenic phonon detector."
1991AIPC..222..561R,1991,Summary of after the first three minutes,dark matter,is,non-baryonic,identity,suggesting a great deal of nonbaryonic dark matter exists
